Scenario Name,Engine,Timestep (s),Response Time (s),Tokens Used
BEL_Zwevegem-1_6_T-1,openai,2.8000000000000003,12.571650505065918,
DEU_Nuremberg-6_34_T-1,openai,3.8000000000000003,17.072444438934326,
DEU_Hennigsdorf-5_3_T-1,openai,2.8000000000000003,18.72811460494995,
ESP_Barcelona-49_21_T-1,openai,4.3,17.947434663772583,
GRC_NeaSmyrni-31_1_T-12,openai,3.6,17.664318084716797,
DEU_Bremen-7_12_T-1,openai,6.800000000000001,17.7932288646698,
GRC_NeaSmyrni-87_1_T-1,openai,0.4,14.99409818649292,
DEU_Muehlhausen-10_5_T-1,openai,1.2000000000000002,20.60687017440796,
DEU_Bremen-33_33_T-1,openai,5.300000000000001,23.54049849510193,
ITA_Empoli-7_2_T-1,openai,2.2,17.7741060256958,
BEL_Brussels-82_4_T-1,openai,2.9000000000000004,11.986396074295044,
DEU_Hanover-44_28_T-1,openai,5.7,17.244115829467773,
