Scenario Name,Engine,Timestep (s),Response Time (s),Tokens Used
FRA_Dijon-24_4_T-1,openai,10.700000000000001,11.891253232955933,
BEL_Zwevegem-1_6_T-1,openai,2.8000000000000003,25.01187562942505,
DEU_Nuremberg-6_34_T-1,openai,3.8000000000000003,60.0534303188324,
DEU_Hennigsdorf-5_3_T-1,openai,2.8000000000000003,18.82284140586853,
ESP_Barcelona-49_21_T-1,openai,4.3,19.438719987869263,
GRC_NeaSmyrni-31_1_T-12,openai,3.6,61.692192792892456,
DEU_Bremen-7_12_T-1,openai,6.800000000000001,32.05256128311157,
GRC_NeaSmyrni-87_1_T-1,openai,0.4,18.25094771385193,
DEU_Muehlhausen-10_5_T-1,openai,1.2000000000000002,20.44451904296875,
DEU_Bremen-33_33_T-1,openai,5.300000000000001,37.85523462295532,
ITA_Empoli-7_2_T-1,openai,2.2,30.99256443977356,
BEL_Brussels-82_4_T-1,openai,2.9000000000000004,37.68853282928467,
DEU_Hanover-44_28_T-1,openai,5.7,17.1597580909729,

